Zona,Tipo de Trabalho,Nº de vagas
Lisboa,Fullstack Developer (Híbrido @Lisboa ou @Porto),1
Lisboa,Functional Support (Sophis Front),1
Lisboa,GenAI Engineer,1
Lisboa,GenAI+.NET,1
Lisboa,Generative AI Engineer,1
Lisboa,Gestor de Projetos Sénior,1
Lisboa,Helpdesk / Suporte Técnico,1
Lisboa,IOS Developer,1
Lisboa,IT Auditor / Network & Systems Analyst,1
Lisboa,IT Business Analyst,1
Lisboa,IT Recruiter,1
Lisboa,Integration Architect,1
Lisboa,Integration Specialist,1
Lisboa,Intermediate Data Scientist,1
Lisboa,Java Backend Engineer,2
Lisboa,Java Developer,1
Lisboa,Java Developer (French Speaker),1
Lisboa,Java Fullstack Developer,1
Lisboa,Java w/Angular,1
Lisboa,Junior C++ Developer,1
Lisboa,Junior Data Analytics Consultant,1
Lisboa,Machine Learning Engineer,1
Lisboa,Microsoft Tech Lead,1
Lisboa,Network Data Engineer,1
Lisboa,Oracle Developer,1
Lisboa,PMO,1
Lisboa,Performance Tech Lead,1
Lisboa,Platform Engineer,1
Lisboa,Product Owner,1
Lisboa,Python Engineer,1
Lisboa,QA Analyst (French Speaker),1
Lisboa,QA Engineer (French Speaker),1
Lisboa,RPA Developer,1
Lisboa,RPA w/ Automation Anywhere,1
Lisboa,Recém-Mestre,1
Lisboa,SAP C4C SDK and PDI Consultant,1
Lisboa,SAP CO/PS Consultant,1
Lisboa,SAP Datashpere & 4HANA,1
Lisboa,SAP LO Consultant,1
Lisboa,SAP SD Senior Consultant,1
Lisboa,Salesforce Data Specialist,1
Lisboa,Salesforce DevOps Engineer,1
Lisboa,Salesforce Developer,1
Lisboa,Salesforce Integration Specialist,1
Lisboa,Salesforce QA/Test Automation Engineer,1
Lisboa,Salesforce Solution Architect,1
Lisboa,Salesforce Technical Architect,1
Lisboa,Scrum Master,2
Lisboa,Senior .NET Developer,2
Lisboa,Senior AI Engineer,1
Lisboa,Senior Data Scientist,1
Lisboa,Senior DevOps/SRE Engineer,1
Lisboa,Senior Fullstack Developer,2
Lisboa,Senior Functional Analyst,1
Lisboa,Senior Java Developer,1
Lisboa,Senior Java Developer (Portuguese Speaker),1
Lisboa,Senior Java Software Engineer,1
Lisboa,Senior MuleSoft Integration Architect,1
Lisboa,Senior SAP ABAP Developer,1
Lisboa,Senior Solution Architect,1
Lisboa,Software Engineer (Python + React),1
Lisboa,Solutions Architect,1
Lisboa,Suporte Service Desk 1ª Linha - 1ª Linha,1
Lisboa,Support Specialist,1
Lisboa,System Administrator / Microsoft Engineer,1
Lisboa,System Administrator Linux,1
Lisboa,System Administrator Windows,1
Lisboa,T-SQL Developer,1
Lisboa,Teach Lead de Infraestruturas/Cloud  & SysAdmin,1
Lisboa,Tech Lead .NET+React,1
Lisboa,Tech Lead Fiel Services Dynamics,1
Lisboa,Technical Team Lead,1
Lisboa,Tibco Developer,1
Lisboa,Técnico de Suporte Aplicacional,1
Lisboa,Técnico de Suporte Helpdesk TI (Software),1
Lisboa,Técnico em Redes e Segurança,1
Lisboa,WPF Developer,1
Lisboa,Сustomer Support Specialist,1
Porto,.NET Backend Engineer,1
Porto,.NET Developer,1
Porto,.NET Software Engineer,1
Porto,Administrador de Sistemas Júnior / Técnico de Informática,1
Porto,Administrator Sistemas,1
Porto,Android Developer,1
Porto,Business Analyst,1
Porto,C# Developer,1
Porto,C# Regulatory Developer,1
Porto,C# Senior Developer,1
Porto,C/C++ Developer,1
Porto,Cloud Data Engineer,1
Porto,Cloud Engineer,1
Porto,Cloud Engineer / Platform Engineer,1
Porto,Consultor SRE,1
Porto,Control-M Engineer,1
Porto,Customer Support Consultant - VoIP,1
Porto,Data Analyst,1
Porto,Data Engineer,4
Porto,Data Engineer (AWS),1
Porto,Data Engineer (English speaker),1
Porto,Data Engineer- Azure,1
Porto,Data Engineering Tech Lead,1
Porto,DevOps Engineer,1
Porto,Frontend Developer,1
Porto,Full Stack Developer .Net com React,1
Porto,Full Stack Developer Java com Angular,1
Porto,Full Stack PHP Developer (Portal Manager),1
Porto,Fullstack Developer (Híbrido @Lisboa ou @Porto),1
Porto,Fullstack Developer - Java/Angular,1
Porto,Functional Support Summit Securities,1
Porto,Generative AI Engineer,1
Porto,Gestor de Projetos Sénior,1
Porto,IOS Developer,1
Porto,IT Manager,1
Porto,Intermediate Data Scientist,1
Porto,Java Backend Engineer,2
Porto,Java Software Developer,1
Porto,Junior Application Support Engineer,1
Porto,Junior QA Analyst,1
Porto,Lead Software Architect Node.js,1
Porto,Machine Learning Engineer,1
Porto,Mid .NET Developer,1
Porto,Mid Fullstack developer (Java & Angular),1
Porto,Monitoring and Operations,1
Porto,PHP Symfony Senior Developer,1
Porto,Planning and Scheduling Product Specialist,1
Porto,Python Engineer,1
Porto,QA Analyst (French Speaker),1
Porto,QA Engineer,3
Porto,QA Engineer (French Speaker),1
Porto,QA Funcional,1
Porto,RPA Developer,1
Porto,SAP C4C SDK and PDI Consultant,1
Porto,SAP CO/PS Consultant,1
Porto,SAP LO Consultant,1
Porto,SAP SD Senior Consultant,1
Porto,Salesforce Data Specialist,1
Porto,Salesforce DevOps Engineer,1
Porto,Salesforce Developer,1
Porto,Salesforce Integration Specialist,1
Porto,Salesforce QA/Test Automation Engineer,1
Porto,Salesforce Solution Architect,1
Porto,Salesforce Technical Architect,1
Porto,Senior .NET Developer,3
Porto,Senior .NET Developer (French Speaker),1
Porto,Senior Automation Tester,1
Porto,Senior Java Developer,1
Porto,Senior Java Software Engineer,1
Porto,Senior MuleSoft Integration Architect,1
Porto,Senior Node.js Fullstack Engineer,1
Porto,Senior QA Functional,1
Porto,Senior Quality Assurance Engineer,1
Porto,Senior SAP Functional Consultant - SAP CS or SAP PM (Relocation to Portugal),1
Porto,Senior Software Developer - Python,1
Porto,Software Engineer,1
Porto,Software Engineer (Python + React),1
Porto,Software Engineer - C++/Python,1
Porto,System Administrator Linux,1
Porto,T-SQL Developer,1
Porto,Técnicos de informática,1
Porto,Web Developer (Angular),1
Porto,Сustomer Support Specialist,1
Setúbal,Android Developer,1
Setúbal,Cobol Developer,1
Setúbal,Data Analyst,1
Setúbal,Python Engineer,1
Viana do Castelo,Cloud  Architect,1
Viana do Castelo,Customer Support Consultant - VoIP,1
Viana do Castelo,Delivery Manager,1
Viana do Castelo,Microsoft Tech Lead,1
Viana do Castelo,Team Leader Desenvolvimento de Software,1
Viseu,Generative AI Engineer,1
Viseu,Recém-Mestre,1
Viseu,Web Developer (Angular),1
